Phase,Tuning Option,Current Setting,Summary
Discovery,DISCOVERY_QUERY_CONCURRENCY,4 (env: DISCOVERY_QUERY_CONCURRENCY),"[Backend only — no GUI control] Concurrent search queries during discovery. Adjusted by run profile: thorough=8, standard=4. Controls how many queries run in parallel."
Discovery,MAX_URLS_PER_PRODUCT,20 (env: MAX_URLS_PER_PRODUCT),[Backend only — no GUI control] Maximum URLs fetched per product across all rounds. Hard cap on total pages downloaded.
Discovery,MAX_CANDIDATE_URLS,50 (env: MAX_CANDIDATE_URLS_PER_PRODUCT or MAX_CANDIDATE_URLS),[Backend only — no GUI control] Maximum candidate URLs tracked per product. Candidates are URLs found but not yet fetched. Larger pool means more options for the fetch scheduler.
Discovery,MAX_PAGES_PER_DOMAIN,2 (env: MAX_PAGES_PER_DOMAIN),[Backend only — no GUI control] Maximum pages fetched per domain per product. Prevents over-crawling any single site. 2 pages usually gets the spec page + one related page.
Discovery,MAX_RUN_SECONDS,300 (env: MAX_RUN_SECONDS),[Backend only — no GUI control] Maximum total runtime per product in seconds. 5-minute hard stop prevents runaway processing.
Discovery,MANUFACTURER_DEEP_RESEARCH_ENABLED,true (env),"[Backend only — no GUI control] Enable deep research mode for manufacturer URLs. When enabled the system explores manufacturer sites more thoroughly — following links to spec subpages, PDF downloads, and support docs."
Discovery,MAX_MANUFACTURER_URLS_PER_PRODUCT,20 (env),[Backend only — no GUI control] Maximum manufacturer URLs per product. Allows deep crawling of manufacturer sites beyond the normal MAX_PAGES_PER_DOMAIN limit.
Discovery,MAX_MANUFACTURER_PAGES_PER_DOMAIN,8 (env),[Backend only — no GUI control] Maximum pages per manufacturer domain. Higher than the general limit to allow thorough manufacturer exploration.
Discovery,MANUFACTURER_RESERVE_URLS,10 (env),[Backend only — no GUI control] URL slots reserved for manufacturer discovery. Ensures manufacturer sources always have room in the fetch budget.
Discovery,MAX_JSON_BYTES,2000000 (env: MAX_JSON_BYTES),[Backend only — no GUI control] Maximum JSON response size in bytes (~2MB). Prevents memory issues from enormous API responses.
Discovery,USER_AGENT,Mozilla/5.0 (compatible; EGSpecHarvester/1.0) (env),[Backend only — no GUI control] HTTP User-Agent header sent with all requests. Identifies the crawler to web servers.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# AGGRESSIVE MODE,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Aggressive,AGGRESSIVE_MODE_ENABLED,false (env: AGGRESSIVE_MODE_ENABLED),"[Backend only — no GUI control] Enable aggressive extraction mode with higher limits across all phases. Significantly increases search budget, LLM calls, and time per product. Much more expensive but more thorough."
Aggressive,AGGRESSIVE_CONFIDENCE_THRESHOLD,0.85 (env),[Backend only — no GUI control] Confidence threshold for aggressive mode field acceptance. Stricter than default to compensate for the larger evidence pool.
Aggressive,AGGRESSIVE_MAX_SEARCH_QUERIES,5 (env),[Backend only — no GUI control] Max search queries in aggressive mode per pass.
Aggressive,AGGRESSIVE_EVIDENCE_AUDIT_ENABLED,true (env),[Backend only — no GUI control] Enable evidence audit in aggressive mode. Cross-checks extracted values against evidence for consistency.
Aggressive,AGGRESSIVE_EVIDENCE_AUDIT_BATCH_SIZE,60 (env),[Backend only — no GUI control] Batch size for evidence auditing. 60 evidence items per audit batch.
Aggressive,AGGRESSIVE_MAX_TIME_PER_PRODUCT_MS,600000 (env),[Backend only — no GUI control] Max time per product in aggressive mode: 10 minutes (2× standard). Allows more time for thorough extraction.
Aggressive,AGGRESSIVE_THOROUGH_FROM_ROUND,2 (env),[Backend only — no GUI control] Round number at which aggressive mode switches to thorough search behavior. Round 1 uses standard settings; round 2+ enables deep search.
Aggressive,AGGRESSIVE_ROUND1_MAX_URLS,90 (env),[Backend only — no GUI control] Max URLs in round 1 of aggressive mode. Much higher than standard (20).
Aggressive,AGGRESSIVE_ROUND1_MAX_CANDIDATE_URLS,120 (env),[Backend only — no GUI control] Max candidate URLs in round 1 of aggressive mode.
Aggressive,AGGRESSIVE_LLM_MAX_CALLS_PER_ROUND,16 (env),[Backend only — no GUI control] Max LLM calls per round in aggressive mode. 4× the standard limit.
Aggressive,AGGRESSIVE_LLM_MAX_CALLS_PER_PRODUCT_TOTAL,48 (env),[Backend only — no GUI control] Max total LLM calls per product in aggressive mode. Nearly 5× the standard limit.
Aggressive,AGGRESSIVE_LLM_TARGET_MAX_FIELDS,75 (env),[Backend only — no GUI control] Target max fields to fill in aggressive mode. Tries to fill up to 75 fields per product.
Aggressive,AGGRESSIVE_LLM_DISCOVERY_PASSES,3 (env),[Backend only — no GUI control] Number of discovery passes in aggressive mode. Each pass generates new search queries based on what's still missing.
Aggressive,AGGRESSIVE_LLM_DISCOVERY_QUERY_CAP,24 (env),[Backend only — no GUI control] Query cap per discovery pass in aggressive mode.
Aggressive,UBER_AGGRESSIVE_ENABLED,false (env: UBER_AGGRESSIVE_ENABLED),[Backend only — no GUI control] Enable uber-aggressive mode — the most thorough extraction profile. Even higher limits than aggressive mode.
Aggressive,UBER_MAX_URLS_PER_PRODUCT,25 (env),[Backend only — no GUI control] Max URLs per product in uber-aggressive mode.
Aggressive,UBER_MAX_URLS_PER_DOMAIN,6 (env),[Backend only — no GUI control] Max URLs per domain in uber-aggressive mode. 3× the standard limit.
Aggressive,UBER_MAX_ROUNDS,6 (env),[Backend only — no GUI control] Max convergence rounds in uber-aggressive mode. 2× the standard limit.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# CORTEX (External LLM Orchestrator),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
CORTEX,CORTEX_ENABLED,false (env: CORTEX_ENABLED),"[Backend only — no GUI control] Enable CORTEX external LLM orchestrator. CORTEX provides advanced model routing, escalation, and async processing. Requires a separate CORTEX server."
CORTEX,CORTEX_BASE_URL,http://localhost:5001/v1 (env),[Backend only — no GUI control] CORTEX sync API base URL.
CORTEX,CORTEX_API_KEY,key (env: CORTEX_API_KEY),[Backend only — no GUI control] CORTEX API authentication key.
CORTEX,CORTEX_ASYNC_ENABLED,true (env),[Backend only — no GUI control] Enable CORTEX async mode for long-running LLM jobs. Jobs are submitted and polled for results.
CORTEX,CORTEX_SYNC_TIMEOUT_MS,60000 (env),[Backend only — no GUI control] Timeout for synchronous CORTEX calls.
CORTEX,CORTEX_ASYNC_POLL_INTERVAL_MS,5000 (env),[Backend only — no GUI control] Polling interval for async CORTEX jobs.
CORTEX,CORTEX_ASYNC_MAX_WAIT_MS,900000 (env),[Backend only — no GUI control] Maximum wait time for async CORTEX jobs: 15 minutes.
CORTEX,CORTEX_ESCALATE_CONFIDENCE_LT,0.85 (env),[Backend only — no GUI control] Confidence threshold below which CORTEX escalates to a deeper model.
CORTEX,CORTEX_ESCALATE_IF_CONFLICT,true (env),[Backend only — no GUI control] Escalate to deeper CORTEX model when field conflicts are detected.
CORTEX,CORTEX_ESCALATE_CRITICAL_ONLY,true (env),[Backend only — no GUI control] Only escalate critical/identity fields — not optional ones.
CORTEX,CORTEX_MAX_DEEP_FIELDS_PER_PRODUCT,12 (env),[Backend only — no GUI control] Maximum fields per product that get deep model escalation via CORTEX.
CORTEX,CORTEX_FAILURE_THRESHOLD,3 (env),[Backend only — no GUI control] Number of consecutive CORTEX failures before circuit breaker opens.
CORTEX,CORTEX_CIRCUIT_OPEN_MS,30000 (env),[Backend only — no GUI control] Duration the circuit breaker stays open after CORTEX failures: 30 seconds.
CORTEX,CORTEX Model Selection (6 models),fast: gpt-5-low / reasoning: gpt-5-high / plus audit/dom/search/rerank/vision variants,"[Backend only — no GUI control] Per-role model selection for CORTEX. 6 model slots: fast, audit, dom, reasoning_deep, vision, search_fast, rerank_fast, search_deep. Each can be set independently."
# ═══════════════════════════════════════════════════════════════════════════════,,,
# INDEXING RESUME & REEXTRACT,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Indexing,INDEXING_RESUME_MODE,auto (env: INDEXING_RESUME_MODE),[Backend only — no GUI control] Resume mode for interrupted indexing runs. 'auto' resumes if a recent run exists. 'manual' requires explicit resume flag. 'off' always starts fresh.
Indexing,INDEXING_RESUME_MAX_AGE_HOURS,48 (env),[Backend only — no GUI control] Maximum age in hours for a run to be eligible for resume. Runs older than 48 hours are considered stale and not resumed.
Indexing,INDEXING_RESUME_SEED_LIMIT,24 (env),[Backend only — no GUI control] Maximum seed URLs loaded during resume. Limits how many URLs are re-seeded from the previous run.
Indexing,INDEXING_RESUME_PERSIST_LIMIT,160 (env),[Backend only — no GUI control] Maximum persisted items loaded during resume.
Indexing,INDEXING_REEXTRACT_ENABLED,true (env),[Backend only — no GUI control] Enable re-extraction for stale evidence. When enabled previously-extracted pages are re-processed if they exceed the staleness threshold.
Indexing,INDEXING_REEXTRACT_AFTER_HOURS,24 (env),[Backend only — no GUI control] Hours after which extracted evidence becomes stale and eligible for re-extraction.
Indexing,INDEXING_SCHEMA_PACKETS_VALIDATION_ENABLED,true (env),[Backend only — no GUI control] Enable JSON schema validation for indexing packets. When enabled all event payloads are validated against their schemas.
Indexing,INDEXING_SCHEMA_PACKETS_VALIDATION_STRICT,true (env),[Backend only — no GUI control] Strict schema validation mode. When true validation failures throw errors. When false they log warnings.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# SOURCE STRATEGY (Pipeline Settings GUI),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Source Strategy,Source Strategy Table,(GUI: Pipeline Settings → Source Strategy table),[GUI: Pipeline Settings → Source Strategy table] Configurable table of source strategies with per-row enable/disable toggles and delete buttons. Each row defines a source discovery strategy with its parameters. Strategies control how the pipeline finds new URLs.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# DRIFT DETECTION & MAINTENANCE,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Drift,DRIFT_DETECTION_ENABLED,true (env: DRIFT_DETECTION_ENABLED),[Backend only — no GUI control] Enable drift detection for published specs. Periodically re-checks published product specs for changes. Detects when source pages update their spec values.
Drift,DRIFT_POLL_SECONDS,86400 / 24 hours (env),[Backend only — no GUI control] Polling interval for drift detection in seconds. Checks for spec drift once per day by default.
Drift,DRIFT_SCAN_MAX_PRODUCTS,250 (env),[Backend only — no GUI control] Maximum products to scan per drift detection cycle.
Drift,DRIFT_AUTO_REPUBLISH,true (env),[Backend only — no GUI control] Automatically republish specs when drift is detected. When true changed values are automatically updated.
Drift,RECRAWL_STALE_AFTER_DAYS,30 (env),[Backend only — no GUI control] Re-crawl product source URLs after this many days. 30-day staleness window ensures evidence stays fresh.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# DAEMON & IMPORTS,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Daemon,DAEMON_CONCURRENCY,3 (env: DAEMON_CONCURRENCY),[Backend only — no GUI control] Number of concurrent product runs in daemon mode. Controls how many products the background service processes simultaneously.
Daemon,DAEMON_GRACEFUL_SHUTDOWN_TIMEOUT_MS,60000 (env),[Backend only — no GUI control] Grace period for daemon shutdown in milliseconds. Allows 60 seconds for in-progress runs to complete before force-stopping.
Daemon,IMPORTS_ROOT,imports (env: IMPORTS_ROOT),[Backend only — no GUI control] Root directory for the import watcher. The daemon monitors this directory for new product import files.
Daemon,IMPORTS_POLL_SECONDS,10 (env: IMPORTS_POLL_SECONDS),[Backend only — no GUI control] Polling interval for the import watcher in seconds. Checks for new import files every 10 seconds.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# HYPOTHESIS & SELF-IMPROVEMENT,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Hypothesis,SELF_IMPROVE_ENABLED,true (env: SELF_IMPROVE_ENABLED),[Backend only — no GUI control] Enable self-improvement hypothesis system. The pipeline generates hypotheses about where to find missing specs and tests them in follow-up rounds.
Hypothesis,MAX_HYPOTHESIS_ITEMS,50 (env: MAX_HYPOTHESIS_ITEMS),[Backend only — no GUI control] Maximum hypothesis items tracked per product. Limits the hypothesis pool size.
Hypothesis,HYPOTHESIS_AUTO_FOLLOWUP_ROUNDS,0 (env),[Backend only — no GUI control] Number of automatic follow-up rounds for hypothesis testing. 0 means no automatic follow-up — hypotheses are tested only in scheduled rounds.
Hypothesis,HYPOTHESIS_FOLLOWUP_URLS_PER_ROUND,12 (env),[Backend only — no GUI control] Maximum URLs fetched per hypothesis follow-up round.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# OUTPUT & STORAGE,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Output,OUTPUT_MODE,dual (env: OUTPUT_MODE),"[Backend only — no GUI control] Output storage mode: 'local' (disk only), 's3' (S3 only), 'dual' (both). Controls where completed product specs are saved."
Output,LOCAL_MODE,false (env: LOCAL_MODE),[Backend only — no GUI control] Run entirely locally with no cloud dependencies. Disables S3 mirroring and remote features.
Output,DRY_RUN,false (env: DRY_RUN),[Backend only — no GUI control] Dry run mode — no files are written. Useful for testing pipeline behavior without producing output.
Output,LOCAL_INPUT_ROOT,fixtures/s3 (env: LOCAL_INPUT_ROOT or LOCAL_S3_ROOT),[Backend only — no GUI control] Root directory for local input fixtures. Contains product seed files organized by category.
Output,LOCAL_OUTPUT_ROOT,out (env: LOCAL_OUTPUT_ROOT),[Backend only — no GUI control] Root directory for pipeline output files. Completed specs are written here.
Output,WRITE_MARKDOWN_SUMMARY,true (env: WRITE_MARKDOWN_SUMMARY),[Backend only — no GUI control] Write a markdown summary file alongside JSON output. Human-readable summary of extracted specs.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# SQLITE DUAL-WRITE FLAGS,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Dual-Write,QUEUE_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write queue data to both SQLite and JSON. Migration flag — when true both storage backends receive writes. Used during SQLite migration for safety.
Dual-Write,BILLING_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write billing data to JSON alongside SQLite.
Dual-Write,BRAIN_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write brain/knowledge data to JSON.
Dual-Write,INTEL_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write intel/discovery data to JSON.
Dual-Write,CORPUS_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write corpus/evidence data to JSON.
Dual-Write,LEARNING_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write learning store data to JSON.
Dual-Write,CACHE_JSON_WRITE,false (env),[Backend only — no GUI control] Dual-write cache data to JSON.
